,dt,PM2.5
0,2016-06-01,26.648745519713263
1,2016-06-02,27.833333333333332
2,2016-06-03,69.57543859649122
3,2016-06-04,135.72058823529412
4,2016-06-05,44.610236220472444
5,2016-06-06,86.05405405405405
6,2016-06-07,74.2023346303502
7,2016-06-08,100.28873239436619
8,2016-06-09,18.865284974093264
9,2016-06-10,72.47222222222223
10,2016-06-11,71.76241134751773
11,2016-06-12,76.52747252747253
12,2016-06-13,45.64312267657993
13,2016-06-14,35.410909090909094
14,2016-06-15,18.323943661971832
15,2016-06-16,24.759856630824373
16,2016-06-17,23.36996336996337
17,2016-06-18,39.36585365853659
18,2016-06-19,58.59090909090909
19,2016-06-20,89.73033707865169
20,2016-06-21,84.82287822878229
21,2016-06-22,54.45229681978799
22,2016-06-23,76.6015325670498
23,2016-06-24,14.394160583941606
24,2016-06-25,16.380597014925375
25,2016-06-26,40.1843137254902
26,2016-06-27,58.38582677165354
27,2016-06-28,67.96992481203007
28,2016-06-29,110.94814814814815
29,2016-06-30,60.68458781362007
30,2016-07-01,12.117437722419929
31,2016-07-02,42.02836879432624
32,2016-07-03,38.533596837944664
33,2016-07-04,83.86832740213524
34,2016-07-05,21.22222222222222
35,2016-07-06,58.22222222222222
36,2016-07-07,110.82442748091603
37,2016-07-08,19.109154929577464
38,2016-07-09,40.97122302158273
39,2016-07-10,39.773851590106005
40,2016-07-11,40.40860215053763
41,2016-07-12,120.81978798586573
42,2016-07-13,19.33955223880597
43,2016-07-14,34.59649122807018
44,2016-07-15,35.32857142857143
45,2016-07-16,35.68292682926829
46,2016-07-17,76.01773049645391
47,2016-07-18,107.40073529411765
48,2016-07-19,97.55555555555556
49,2016-07-20,35.270462633451956
50,2016-07-21,24.6678445229682
51,2016-07-22,74.7723880597015
52,2016-07-23,120.63967611336032
53,2016-07-24,65.59677419354838
54,2016-07-25,42.41935483870968
55,2016-07-26,20.06640625
56,2016-07-27,47.34306569343066
57,2016-07-28,41.33031674208145
58,2016-07-29,116.2964824120603
59,2016-07-30,130.91237113402062
60,2016-07-31,53.235849056603776
61,2016-08-01,30.396363636363635
62,2016-08-02,160.92307692307693
63,2016-08-03,10.011029411764707
64,2016-08-04,22.02836879432624
65,2016-08-05,60.454873646209386
66,2016-08-06,124.76923076923077
67,2016-08-07,91.58555133079848
68,2016-08-08,30.414893617021278
69,2016-08-09,20.975
70,2016-08-10,11.902621722846442
71,2016-08-11,35.61231884057971
72,2016-08-12,91.56993006993007
73,2016-08-13,22.3886925795053
74,2016-08-14,19.56338028169014
75,2016-08-15,20.574007220216608
76,2016-08-16,23.39568345323741
77,2016-08-17,60.07719298245614
78,2016-08-18,74.25978647686833
79,2016-08-19,17.95486111111111
80,2016-08-20,52.540636042402824
81,2016-08-21,52.314487632508836
82,2016-08-22,53.10035842293907
83,2016-08-23,69.5583038869258
84,2016-08-24,79.69424460431655
85,2016-08-25,17.648936170212767
86,2016-08-26,10.095744680851064
87,2016-08-27,14.444839857651246
88,2016-08-28,11.117021276595745
89,2016-08-29,17.921146953405017
90,2016-08-30,29.34926470588235
91,2016-08-31,16.91549295774648
92,2016-09-01,71.5583038869258
93,2016-09-02,40.74475524475525
94,2016-09-03,10.985185185185186
95,2016-09-04,72.408
96,2016-09-05,34.93571428571428
97,2016-09-06,110.02189781021897
98,2016-09-07,81.62835249042146
99,2016-09-08,44.78102189781022
100,2016-09-09,18.36144578313253
101,2016-09-10,31.89243027888446
102,2016-09-11,148.584229390681
103,2016-09-12,21.989547038327526
104,2016-09-13,85.35526315789474
105,2016-09-14,99.06072874493927
106,2016-09-15,69.27692307692308
107,2016-09-16,133.03787878787878
108,2016-09-17,41.63076923076923
109,2016-09-18,21.246031746031747
110,2016-09-19,10.866108786610878
111,2016-09-20,20.142857142857142
112,2016-09-21,65.83700440528635
113,2016-09-22,101.85836909871244
114,2016-09-23,121.86976744186046
115,2016-09-24,115.51181102362204
116,2016-09-25,168.75252525252526
117,2016-09-26,57.95703125
118,2016-09-27,25.223826714801444
119,2016-09-28,14.603053435114504
120,2016-09-29,50.31906614785992
121,2016-09-30,98.5827067669173
122,2016-10-01,50.07368421052632
123,2016-10-02,92.56993006993007
124,2016-10-03,10.568702290076336
125,2016-10-04,53.38493723849373
126,2016-10-05,39.78169014084507
127,2016-10-06,52.00363636363636
128,2016-10-07,93.10266159695817
129,2016-10-08,82.34532374100719
130,2016-10-09,15.701149425287356
131,2016-10-10,89.32692307692308
132,2016-10-11,155.81138790035587
133,2016-10-12,47.628975265017665
134,2016-10-13,152.51737451737452
135,2016-10-14,240.6340579710145
136,2016-10-15,190.5934065934066
137,2016-10-16,120.36933797909407
138,2016-10-17,59.487544483985765
139,2016-10-18,117.63799283154121
140,2016-10-19,224.2074074074074
141,2016-10-20,95.20979020979021
142,2016-10-21,43.60836501901141
143,2016-10-22,14.480836236933797
144,2016-10-23,26.67844522968198
145,2016-10-24,61.37979094076655
146,2016-10-25,97.78985507246377
147,2016-10-26,45.20740740740741
148,2016-10-27,30.610894941634243
149,2016-10-28,11.274074074074074
150,2016-10-29,24.293906810035843
151,2016-10-30,43.810526315789474
152,2016-10-31,8.128676470588236
153,2016-11-01,11.052631578947368
154,2016-11-02,156.2836879432624
155,2016-11-03,22.124087591240876
156,2016-11-04,40.6
157,2016-11-05,145.3942652329749
158,2016-11-06,10.203508771929824
159,2016-11-07,87.58467741935483
160,2016-11-08,85.6875
161,2016-11-09,32.08560311284047
162,2016-11-10,117.11969111969113
163,2016-11-11,78.31118881118881
164,2016-11-12,160.05985915492957
